ProductName,SplitedWords,BrandWords,品牌数,CategoryWords,类别数,CategoryName,BrandName,ProductCode
popular玻儿清新能量洁面乳80g,"popular, 玻儿, 清, 新, 能量, 洁面, 乳, 80g",popular,1,洁面,1,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,popular玻儿,11047237
Za姬芮 菁采新生泡沫洁面膏100g,"za, 姬芮,  , 菁, 采, 新, 生, 泡, 沫, 洁面膏, 100g",za,1,,0,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,za姬芮,10043546
Za姬芮卓能菁采新生洁面膏100g,"za, 姬芮, 卓能, 菁, 采, 新, 生, 洁面膏, 100g",za,1,,0,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,za姬芮,10625317
Za姬芮洁面膏100g,"za, 姬芮, 洁面膏, 100g",za,1,,0,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,za姬芮,10625077
TJOY丁家宜活性矿泥洁面乳100g,"tjoy, 丁家宜, 活, 性, 矿, 泥, 洁面, 乳, 100g",tjoy,1,洁面,1,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,丁家宜,21090
TJOY丁家宜面容一洗白(美白控油性)120g,"tjoy, 丁家宜, 面, 容, 一, 洗, 白, (, 美白, 控, 油, 性, ), 120g",tjoy,1,面,1,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,丁家宜,21056
TJOY丁家宜面容一洗白(美白滋润型)120g,"tjoy, 丁家宜, 面, 容, 一, 洗, 白, (, 美白, 滋, 润, 型, ), 120g",tjoy,1,面,1,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,丁家宜,21067
TJOY丁家宜面容一洗白(美白补水型)120g,"tjoy, 丁家宜, 面, 容, 一, 洗, 白, (, 美白, 补, 水, 型, ), 120g",tjoy,1,面,1,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,丁家宜,21045
TJOY丁家宜面容一洗白(美白补水型)188g送32g,"tjoy, 丁家宜, 面, 容, 一, 洗, 白, (, 美白, 补, 水, 型, ), 188g, 送, 32g",tjoy,1,面,1,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,丁家宜,21089
上海 女人夜来香水润美白洁面乳 100g,"上海,  , 女, 人, 夜, 来, 香, 水润, 美白, 洁面, 乳,  , 100g",上海,1,"美白, 洁面",2,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,上海,10374875
丸美巧克力丝滑洁面乳5ml(赠品),"丸美, 巧克力, 丝滑, 洁面, 乳, 5ml, (, 赠, 品, )",丸美,1,"巧克力, 洁面",2,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,丸美,11038894
佰草集 肌活新颜洁肤泡 150ml,"佰草集,  , 肌, 活, 新, 颜, 洁, 肤, 泡,  , 150ml",佰草集,1,,0,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,佰草集,10044403
佰草集悦风舒润洁面啫喱30g(赠品),"佰草集, 悦风, 舒润, 洁面, 啫, 喱, 30g, (, 赠, 品, )",佰草集,1,洁面,1,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,佰草集,12023335
佰草集新恒美紧肤洁面乳 120ml,"佰草集, 新, 恒, 美, 紧肤, 洁面, 乳,  , 120ml",佰草集,1,洁面,1,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,佰草集,10459968
依爱净化调理洁肤乳 120ml,"依爱, 净化, 调, 理, 洁, 肤, 乳,  , 120ml",依爱,1,净化,1,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,依爱,11079177
依爱控油净化洁面乳 100ml,"依爱, 控, 油, 净化, 洁面, 乳,  , 100ml",依爱,1,"油, 净化, 洁面",3,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,依爱,11079144
依爱激净毛孔排浊露 45g,"依爱, 激, 净, 毛, 孔, 排, 浊, 露,  , 45g",依爱,1,,0,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,依爱,11078845
依爱雪颜水润洁面乳 100g,"依爱, 雪, 颜, 水润, 洁面, 乳,  , 100g",依爱,1,洁面,1,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,依爱,11078890
Fueki俏皮娃娃靓肤洁面膏130g(日本原装进口),"fueki, 俏皮娃娃, 靓, 肤, 洁面膏, 130g, (, 日本, 原, 装, 进, 口, )",俏皮娃娃,1,,0,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,俏皮娃娃,10987709
倩碧 柔性洁颜油 200ml,"倩碧,  , 柔, 性, 洁颜, 油,  , 200ml",倩碧,1,油,1,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,倩碧,10057508
倩碧 水洗卸妆泡沫霜 150ml,"倩碧,  , 水, 洗, 卸妆, 泡, 沫, 霜,  , 150ml",倩碧,1,"水, 卸妆",2,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,倩碧,10057360
倩碧 液体洁面皂（温和型） 200ml,"倩碧,  , 液, 体, 洁面, 皂, （, 温, 和, 型, ）,  , 200ml",倩碧,1,洁面,1,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,倩碧,10057213
倩碧洁面皂-清爽  100g,"倩碧, 洁面, 皂, -, 清, 爽,  ,  , 100g",倩碧,1,洁面,1,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,倩碧,10626070
兰皙欧 美白柔滑洗颜霜 120ml,"兰皙欧,  , 美白, 柔, 滑, 洗颜霜,  , 120ml",兰皙欧,1,美白,1,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,兰皙欧,10262825
兰皙欧去痘清净洗颜霜60g,"兰皙欧, 去, 痘, 清, 净, 洗颜霜, 60g",兰皙欧,1,,0,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,兰皙欧,9659943
兰皙欧去角质美白清透者喱100g,"兰皙欧, 去, 角, 质, 美白, 清透, 者, 喱, 100g",兰皙欧,1,美白,1,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,兰皙欧,9660111
兰皙欧安凝润泽洗颜霜100g,"兰皙欧, 安, 凝润, 泽, 洗颜霜, 100g",兰皙欧,1,,0,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,兰皙欧,9660235
兰皙欧润泽保湿洗颜霜60g,"兰皙欧, 润, 泽, 保湿, 洗颜霜, 60g",兰皙欧,1,保湿,1,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,兰皙欧,9659932
兰皙欧润泽保湿洗颜霜60g+兰皙欧去角质美白清透者喱100g,"兰皙欧, 润, 泽, 保湿, 洗颜霜, 60g, +, 兰皙欧, 去, 角, 质, 美白, 清透, 者, 喱, 100g",兰皙欧,1,"保湿, 美白",2,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,兰皙欧,10790268
兰皙欧美白柔滑洗颜霜60g,"兰皙欧, 美白, 柔, 滑, 洗颜霜, 60g",兰皙欧,1,美白,1,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,兰皙欧,9659954
兰皙欧辅酶Q10洗颜乳120g,"兰皙欧, 辅, 酶, q10, 洗颜, 乳, 120g",兰皙欧,1,,0,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,兰皙欧,9660199
兰蔻清滢柔肤洁面乳 125ml,"兰蔻, 清, 滢, 柔肤, 洁面, 乳,  , 125ml",兰蔻,1,洁面,1,0-5009-5010-5011:美容化妆、个人护理-面部护肤-洁面,兰蔻,9774612
