"ProductCode","ProductName","BrandName","CategoryName","NameSubtitle","BrandWords","SplitedWords","CategoryWords"
"9651585","瑞奇比蒂 外贸毛绒数字虫虫 宝宝算算数 (L)65cm","瑞奇比蒂","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"瑞奇比蒂,外贸","瑞奇比蒂, ,外贸,毛绒,数字,虫虫, ,宝宝,算,算数, ,(,l,),65cm",""
"9651325","瑞奇比蒂 大眼睛爱心猪 大号 (W)30*(H)38 cm","瑞奇比蒂","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"瑞奇比蒂,爱心","瑞奇比蒂, ,大,眼睛,爱心,猪, ,大号, ,(,w,),30,*,(,h,),38, ,cm",""
"9651687","瑞奇比蒂 小白兔手偶 (W)20*(H)33 cm","瑞奇比蒂","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"瑞奇比蒂","瑞奇比蒂, ,小白兔,手偶, ,(,w,),20,*,(,h,),33, ,cm","手偶"
"10062767","瑞奇比蒂 录音泰迪熊礼盒 祝福抱抱系列-月亮 (W)16*(H)18 cm","瑞奇比蒂","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"瑞奇比蒂","瑞奇比蒂, ,录音,泰迪熊,礼盒, ,祝福,抱抱,系列,-,月亮, ,(,w,),16,*,(,h,),18, ,cm","泰迪熊"
"10062756","瑞奇比蒂 录音泰迪熊礼盒 祝福抱抱系列-酒瓶 (W)16*(H)18 cm","瑞奇比蒂","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"瑞奇比蒂","瑞奇比蒂, ,录音,泰迪熊,礼盒, ,祝福,抱抱,系列,-,酒瓶, ,(,w,),16,*,(,h,),18, ,cm","泰迪熊"
"9651416","瑞奇比蒂 怀旧经典系列爱美的河马 (L)20*(H)12 cm","瑞奇比蒂","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"瑞奇比蒂,美的,河马","瑞奇比蒂, ,怀旧,经典,系列,爱,美的,河马, ,(,l,),20,*,(,h,),12, ,cm",""
"9651085","瑞奇比蒂 情侣泰迪熊Teddy School对熊 中号 (W)*(H)34 cm","瑞奇比蒂","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"瑞奇比蒂","瑞奇比蒂, ,情侣,泰迪熊,teddy, ,school,对,熊, ,中号, ,(,w,),*,(,h,),34, ,cm","泰迪熊"
"9651734","瑞奇比蒂 眯眯熊手偶 (W)14*(H)24 cm","瑞奇比蒂","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"瑞奇比蒂","瑞奇比蒂, ,眯眯,熊,手偶, ,(,w,),14,*,(,h,),24, ,cm","手偶"
"10062858","瑞奇比蒂 花裙BABY熊笔袋 米色 (W)15*(H)28 cm","瑞奇比蒂","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"瑞奇比蒂,baby","瑞奇比蒂, ,花,裙,baby,熊,笔袋, ,米色, ,(,w,),15,*,(,h,),28, ,cm",""
"9651698","瑞奇比蒂美 羊羊手偶 (H)30 cm","瑞奇比蒂","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"瑞奇比蒂","瑞奇比蒂,美, ,羊羊,手偶, ,(,h,),30, ,cm","手偶"
"11038474","海底世界 海兔MIMI靠垫 40cm 抱枕 粉色靠枕","酷噜海底世界","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"海底世界","海底世界, ,海兔,mimi,靠垫, ,40cm, ,抱枕, ,粉色,靠枕","靠垫,抱枕"
"10499646","酷噜海底世界 20CM洛克(黄+棕色)","酷噜海底世界","0-17722-17723-17724:玩具、图书音像-毛绒玩具-毛绒玩偶",,"酷噜海底世界,洛克","酷噜海底世界, ,20cm,洛克,(,黄,+,棕色,)",""
